word,positive count,negative count,positive sentiment,negative sentiment
AshleyJudd,5566,29320,0.484853561,-0.672443479
Weinstein,1497,16346,0.513513869,-0.660845505
Hollywood,37,5995,0.478586486,-0.789326889
Women,351,6297,0.568158025,-0.774246425
Madonna,66,5773,0.402968182,-0.786764576
Michael,11,5704,0.472290909,-0.790193619
vagina,6,5707,0.410983333,-0.790119572
Moore,10,5702,0.46603,-0.790166135
raped,3,4147,0.4875,-0.719444924
Trump,56,3153,0.482560714,-0.788369711
President,11,2997,0.3355,-0.799132866
like,245,1345,0.559713878,-0.459896283
Milano,10,1034,0.46298,-0.429406673
Cher,13,595,0.4665,-0.61693395
Alyssa,11,595,0.445727273,-0.615536303
Schumer,2,595,0.5859,-0.611467395
Rice,3,586,0.4588,-0.6166
nasty,57,495,0.214449123,-0.734154141
AngelinaJolie,60,950,0.523765625,-0.206754316
GwynethPaltrow,58,955,0.536682759,-0.208356485
