word,positive count,negative count,positive sentiment,negative sentiment,total count
HarveyWeinstein,2419,12128,0.488534701,-0.331467438,14547
NyongLupita,39,2238,0.363805,-0.290939334,2277
Hollywood,19,1190,0.507044444,-0.49784039,1209
harassment,411,1004,0.5778,-0.569882945,1415
women,26,697,0.432288462,-0.491776758,723
sexual,414,462,0.570396845,-0.515037548,876
Her,6,633,0.41315,-0.022172196,639
His,5,599,0.26352,-0.035196828,604
Wow,408,20,0.575858088,-0.07099,428
allowed,401,3,0.576982544,-0.613633333,404
like,75,255,0.401749333,-0.387703137,330
don't,82,241,0.427292683,-0.338739004,323
HillaryClinton,266,267,0.280522727,-0.259783007,533
No,3,195,0.563133333,-0.373202564,198
liberal,1,190,0.4053,-0.365352632,191
Democrats,3,182,0.419466667,-0.156808791,185
Sorry,2,183,0.6047,-0.366444809,185
Sexual,18,152,0.39385,-0.609774342,170
douche,1,167,0.4003,-0.421138922,168
DonaldTrump,75,143,0.432291304,-0.327691209,218
Me,7,117,0.507042857,-0.009253846,124
male,2,116,0.3112,-0.01322931,118
scandal,1,91,0.0516,-0.598503297,92
BillClinton,21,71,0.254861905,-0.471743662,92
money,4,83,0.475825,-0.027354217,87
ObamaBarak,31,96,0.682986667,-0.457005882,127
LisaBloom,2,151,0.6369,-0.068021053,153
Kevin,74,1,0.4149,-0.4404,75
Michelle,2,71,0.3481,-0.497683099,73
KateWinslet,113,22,0.717182759,-0.29185,135
RonanFarrow,127,10,0.373057813,-0.19416,137
Women,16,44,0.5564375,-0.457490909,60
Oscar,58,1,0.773287931,0,59
News,3,56,0.342866667,-0.404758929,59
Donald,6,52,0.39675,-0.413038462,58
Dems,26,31,0.757542308,-0.213177419,57
Why,4,52,0.3389,-0.327403846,56
fucking,46,8,0.827728261,-0.2117625,54
Scandal,2,47,0.21515,-0.517714894,49
assault,1,45,0.4215,-0.592484444,46
WEINSTEIN,5,39,0.4927,-0.198497436,44
President,33,9,0.399842424,-0.390466667,42
RomanPolanski,8,62,0.40974,-0.5548375,70
BernieSanders,62,8,0.3802,-0.3902,70
ass,1,33,0.6369,-0.311275758,34
Against,8,26,0.350825,-0.50825,34
responsible,31,1,0.3802,-0.8834,32
Men,7,25,0.708014286,-0.607992,32
Tarantino,8,23,0.34055,-0.085256522,31
