,mean,mean,mean,len,len,len
quality,negative,neutral,positive,negative,neutral,positive
date,,,,,,
2017-10-05,-0.58406875,-0.00112244897959,0.490768421053,32.0,49.0,19.0
2017-10-06,-0.524,-0.001925,0.408354166667,48.0,28.0,24.0
2017-10-07,-0.48638,-0.00129,0.471095,50.0,30.0,20.0
2017-10-08,-0.601904347826,0.0,0.408766666667,69.0,25.0,6.0
2017-10-09,-0.492204651163,0.0,0.416640909091,43.0,35.0,22.0
2017-10-10,-0.524682,-0.000678947368421,0.410525,50.0,38.0,12.0
2017-10-11,-0.500913333333,0.000678947368421,0.412764705882,45.0,38.0,17.0
2017-10-12,-0.505095744681,0.0,0.426977777778,47.0,26.0,27.0
2017-10-13,-0.487313333333,-0.00132307692308,0.47514375,45.0,39.0,16.0
2017-10-14,-0.534811111111,0.000781818181818,0.472609090909,45.0,33.0,22.0
2017-10-15,-0.5369375,0.0,0.421593103448,40.0,31.0,29.0
2017-10-16,-0.58103,0.000526530612245,0.451257142857,30.0,49.0,21.0
2017-10-17,-0.524584,0.000662857142857,0.34438,50.0,35.0,15.0
2017-10-18,-0.494104444444,0.0,0.469088235294,45.0,38.0,17.0
2017-10-19,-0.555530769231,0.000573333333333,0.3665,39.0,45.0,16.0
2017-10-20,-0.556989583333,0.0,0.482590909091,48.0,41.0,11.0
